sound-options,SOUND OPTIONS,OPTIONS SONORES,OPCIONES DE SONIDO,TONOPTIONEN,OPSI SUARA,OPZIONI AUDIO,サウンドオプション,소리 옵션,PILIHAN BUNYI,GELUIDSOPTIES,OPÇÕES DE SOM,ตัวเลือกเสียง,MGA OPSYON SA TUNOG,SES SEÇENEKLERİ,声音选项
app-mode,APP MODE,MODE,MODO DE LA APLICACIÓN,APP- MODUS,MODE APLIKASI,MODALITÀ APP,アプリ モード,앱 모드,MOD APLIKASI,APP- MODUS,MODO DA APP,โหมด แอป,MODE NG APP,UYGULAMA MODU,应用 模式
hide-time-for-last-15-seconds,HIDE TIME FOR LAST 15 SECONDS,CACHER LE TEMPS POUR LES 15 DERNIÈRES SECONDES,OCULTAR TIEMPO PARA LOS ÚLTIMOS 15 SEGUNDOS,ZEIT IN DEN LETZTEN 15 SEK AUSBLENDEN,SEMBUNYIKAN WAKTU 15 DETIK TERAKHIR,NASCONDI TEMPO ULTIMI 15 SEC,残り15秒 時間非表示,마지막 15초 시간 숨기기,SEMBUNYIKAN MASA 15 SAAT TERAKHIR,TIJD VERBERGEN LAATSTE 15 SEK,OCULTAR TEMPO NOS ÚLTIMOS 15 SEG,ซ่อนเวลา 15 วินาทีสุดท้าย,ITAGO ANG ORAS SA HULING 15 SEGUNDO,SON 15 SANİYE ZAMANI GİZLE,最后15秒 隐藏时间
player-display-brightness,PLAYER DISPLAY BRIGHTNESS,LUMINOSITÉ DE L'AFFICHAGE DES JOUEURS,BRILLO DE LA PANTALLA DEL JUGADOR,HELLIGKEIT SPIELERANZEIGE,KECERAHAN TAMPILAN PEMAIN,LUMINOSITÀ DISPLAY GIOCATORI,選手表示 明るさ,선수 화면 밝기,KECERAHAN PAPARAN PEMAIN,HELDERHEID SPELERSSCHERM,BRILHO DO ECRÃ DE JOGADORES,ความสว่าง หน้าจอผู้เล่น,LIWANAG NG DISPLAY NG MANLALARO,OYUNCU EKRANI PARLAKLIGI,球员显示 亮度
confirm-score-at-game-end,CONFIRM SCORE AT GAME END,CONFIRMER LE SCORE À LA FIN DU MATCH,CONFIRMAR PUNTUACIÓN AL FINAL DEL JUEGO,SPIELSTAND BEI SPIELENDE BESTÄTIGEN,KONFIRMASI SKOR DI AKHIR PERTANDINGAN,CONFERMA PUNTEGGIO A FINE PARTITA,試合終了時 得点確認,경기 종료 시 점수 확인,SAHKAN MARKAH AKHIR PERLAWANAN,SCORE BEVESTIGEN BIJ WEDSTRIJDEINDE,CONFIRMAR RESULTADO NO FIM DO JOGO,ยืนยันคะแนน ท้ายเกม,KUMPIRMAHIN ANG PUNTOS SA KATAPUSAN NG LARO,OYUN SONUNDA SKORU ONAYLA,比赛结束时 确认比分
track-cap-number-of-scorer,TRACK CAP NUMBER OF SCORER,SUIVRE LE NUMÉRO DU BUTEUR,REGISTRAR NÚMERO DEL ANOTADOR,BADEKAPPENNUMMER DES TORSCHÜTZEN ERFASSEN,LACAK NOMOR TOPI PENCETAK GOL,TRACCIA NUMERO CALOTTINA MARCATORE,得点者の キャップ番号記録,득점자 모자 번호 추적,REKOD NOMBOR PEMAIN PENCETAK GOL,MUTSNUMMER DOELPUNTENMAKER,REGISTAR NÚMERO DE TOUCA DO MARCADOR,บันทึกหมายเลขหมวก ของผู้ทำคะแนน,SUBAYBAYAN ANG NUMERO NG GORRO NG MANLALARO,GOLCÜNÜN BAŞLIK NUMARASINI TAKİP ET,追踪进球 泳帽号码
event,EVENT:,EVÉNEMENT:,EVENTO:,VERANSTALTUNG:,ACARA:,EVENTO:,大会:,대회:,ACARA:,EVENEMENT:,EVENTO:,กิจกรรม:,KAGANAPAN:,ETKİNLİK:,赛事：
track-fouls-and-warnings,TRACK FOULS AND WARNINGS,SUIVRE LES FAUTES ET LES AVERTISSEMENTS,REGISTRAR FALTAS Y ADVERTENCIAS,FOULS UND VERWARNUNGEN ERFASSEN,LACAK PELANGGARAN DAN PERINGATAN,TRACCIA FALLI E AMMONIZIONI,反則・ 警告の記録,반칙 및 경고 추적,REKOD KESALAHAN DAN AMARAN,OVERTREDINGEN EN WAARSCHUWINGEN,REGISTAR FALTAS E AVISOS,บันทึกฟาวล์ และการเตือน,SUBAYBAYAN ANG POUL AT BABALA,FAUL VE UYARILARI TAKİP ET,追踪犯规 和警告
court,COURT:,TERRAIN:,CANCHA:,FELD:,LAPANGAN:,CAMPO:,コート:,코트:,GELANGGANG:,BAAN:,CAMPO:,สนาม:,KORTE:,SAHA:,球场：
single-half,SINGLE HALF:,UNE SEULE PÉRIODE:,UNA SOLA MITAD:,EINZELNE HALBZEIT:,BABAK TUNGGAL:,SINGOLO TEMPO:,単一 ハーフ:,단일 전반:,SEPARUH TUNGGAL:,ENKELE HELFT:,TEMPO ÚNICO:,ครึ่ง เดียว:,ISANG KALAHATI:,TEK DEVRE:,单节 比赛：
half-length-full,HALF LENGTH:,DURÉE DE LA PÉRIODE:,DURACIÓN DE UNA MITAD:,HALBZEITDAUER:,DURASI BABAK:,DURATA TEMPO:,ハーフ時間:,전반 시간:,PANJANG SEPARUH:,DUUR HELFT:,DURAÇÃO DO TEMPO:,ความยาวครึ่งเวลา:,HABA NG KALAHATI:,DEVRE SÜRESİ:,半场时长：
game-length,GAME LENGTH:,DURÉE DU MATCH:,DURACIÓN DEL JUEGO:,SPIELDAUER:,DURASI PERTANDINGAN:,DURATA PARTITA:,試合時間:,경기 시간:,PANJANG PERLAWANAN:,WEDSTRIJDDUUR:,DURAÇÃO DO JOGO:,ความยาวเกม:,HABA NG LARO:,OYUN SÜRESİ:,比赛时长：
overtime-allowed,OVERTIME ALLOWED:,PROLONGATIONS AUTORISÉES:,TIEMPO EXTRA (T/E) PERMITIDO:,VERLÄNGERUNG ERLAUBT:,PERPANJANGAN WAKTU DIIZINKAN:,TEMPI SUPPL. CONSENTITI:,延長戦 許可:,연장전 허용:,MASA TAMBAHAN DIBENARKAN:,VERLENGING TOEGESTAAN:,PRORROGAÇÃO PERMITIDA:,อนุญาต ต่อเวลาพิเศษ:,OVERTIME PINAHINTULUTAN:,UZATMA İZİN VERİLDİ:,允许 加时赛：
sudden-death-allowed,SUDDEN DEATH ALLOWED:,MORT SUBITE AUTORISÉE:,MUERTE SÚBITA (M/S) PERMITIDA:,PLÖTZLICHER TOD ERLAUBT:,SUDDEN DEATH DIIZINKAN:,MORTE IMPROVVISA CONSENTITA:,サドンデス 許可:,서든 데스 허용:,SUDDEN DEATH DIBENARKAN:,PLOTSELINGE DOOD TOEGESTAAN:,MORTE SÚBITA PERMITIDA:,อนุญาต ตายกะทันหัน:,SUDDEN DEATH PINAHINTULUTAN:,ANİ ÖLÜM İZİN VERİLDİ:,允许 突然死亡：
half-time-length,HALF TIME LENGTH:,DURÉE DE LA MI-TEMPS:,DURACIÓN DEL MEDIO TIEMPO:,HALBZEITPAUSE DAUER:,DURASI JEDA BABAK:,DURATA INTERVALLO:,ハーフタイム 時間:,하프타임 시간:,PANJANG REHAT SEPARUH MASA:,DUUR RUST:,DURAÇÃO DO INTERVALO:,ความยาว พักครึ่ง:,HABA NG PAHINGA:,DEVRE ARASI SÜRESİ:,中场休息 时长：
pre-ot-break-length,PRE OT BREAK LENGTH:,PAUSE AVANT PROLONGATIONS:,DURACIÓN PREVIA AL T/E:,PAUSE VOR VERLÄNGERUNG:,DURASI JEDA SEBELUM PW:,PAUSA PRE SUPPLEMENTARI:,延長前 休憩時間:,연장전 전 휴식 시간:,PANJANG REHAT PRA-MASA TAMBAHAN:,PAUZE VOOR VERLENGING:,PAUSA PRÉ PRORROGAÇÃO:,พักก่อน ต่อเวลาพิเศษ:,HABA NG PAHINGA BAGO OT:,UZATMA ÖNCESİ ARA SÜRESİ:,加时前 休息时长：
pre-sd-break-length,PRE SD BREAK LENGTH:,PAUSE AVANT MORT SUBITE:,DURACIÓN PREVIA A LA M/S:,PAUSE VOR PLÖTZL. TOD:,DURASI JEDA SEBELUM SD:,PAUSA PRE MORTE IMPROVVISA:,SD前 休憩時間:,서든 데스 전 휴식 시간:,PANJANG REHAT PRA-SUDDEN DEATH:,PAUZE VOOR PLTS DOOD:,PAUSA PRÉ MORTE SÚBITA:,พักก่อน ตายกะทันหัน:,HABA NG PAHINGA BAGO SD:,ANİ ÖLÜM ÖNCESİ ARA SÜRESİ:,突然死亡前 休息时长：
nominal-break-between-games,NOMINAL BRK BTWN GAMES:,PAUSE ENTRE LES MATCHS:,DESCANSO ENTRE JUEGOS:,NOMINALE PAUSE ZWISCHEN SPIELEN:,JEDA NOMINAL ANTAR PERTANDINGAN:,PAUSA NOMINALE FRA PARTITE:,試合間 基準休憩:,경기 간 기준 휴식:,REHAT NOMINAL ANTARA PERLAWANAN:,NOMINALE PAUZE TUSSEN WEDSTR.:,PAUSA NOMINAL ENTRE JOGOS:,พักระหว่างเกม ตามกำหนด:,NOMINAL NA PAHINGA SA PAGITAN NG MGA LARO:,OYUNLAR ARASI NOMİNAL ARA:,场间名义 休息时间：
ot-half-length,OT HALF LENGTH:,PÉRIODE DE PROLONGATION:,DURACIÓN DE LA MITAD DEL T/M:,VERLÄNGERUNGS- HALBZEITDAUER:,DURASI BABAK PERPANJANGAN:,DURATA TEMPO SUPPLEMENTARE:,延長ハーフ 時間:,연장 전반 시간:,PANJANG SEPARUH MASA TAMBAHAN:,DUUR HELFT VERLENGING:,DURAÇÃO TEMPO PRORROGAÇÃO:,ครึ่งเวลา ต่อเวลาพิเศษ:,HABA NG KALAHATI SA OT:,UZATMA DEVRESİ SÜRESİ:,加时半场 时长：
timeouts-counted-per,TIMEOUTS COUNTED PER:,TEMPS MORTS COMPTÉS PAR:,TIEMPOS MUERTOS CONTADOS POR:,AUSZEITEN GEZÄHLT PRO:,TIME-OUT DIHITUNG PER:,TIME-OUT CONTATI PER:,タイムアウト 集計単位:,타임아웃 기준 단위:,MASA REHAT DIKIRA PER:,TIME-OUTS GETELD PER:,TEMPOS DE EQUIPA CONTADOS POR:,นับพักทีม ต่อ:,MGA TIMEOUT BIBILANGIN PER:,MOLALAR SAYILAN PER:,暂停 计算单位：
game,GAME,MATCH,JUEGO,SPIEL,PERTANDINGAN,PARTITA,試合,경기,PERLAWANAN,WEDSTRIJD,JOGO,เกม,LARO,OYUN,比赛
half,HALF,PÉRIODE,MITAD,HALBZEIT,BABAK,TEMPO,ハーフ,전반,SEPARUH,HELFT,TEMPO,ครึ่งเวลา,KALAHATI,DEVRE,半场
minimum-brk-btwn-games,MINIMUM BRK BTWN GAMES:,PAUSE MIN. ENTRE LES MATCHS:,DESCANSO MÍNIMO ENTRE JUEGOS:,MIN. PAUSE ZWISCHEN SPIELEN:,JEDA MINIMUM ANTAR PERTANDINGAN:,PAUSA MIN FRA PARTITE:,試合間 最小休憩:,최소 경기 간 휴식:,REHAT MINIMUM ANTARA PERLAWANAN:,MIN PAUZE TUSSEN WEDSTR.:,PAUSA MÍN ENTRE JOGOS:,พักระหว่างเกม ขั้นต่ำ:,PINAKAMALIIT NA PAHINGA SA PAGITAN NG MGA LARO:,OYUNLAR ARASI MİNİMUM ARA:,场间最短 休息时间：
ot-half-time-length,OT HALF TIME LENGTH,DURÉE DE LA PAUSE A LA PROLONGATION,DUR. MEDIO TIEMPO DEL T/E,VERLÄNGERUNGS- PAUSENDAUER,DURASI JEDA PERPANJANGAN WAKTU,INTERVALLO SUPPLEMENTARE,延長ハーフ タイム時間,연장 하프타임 시간,PANJANG REHAT SEPARUH MASA TAMBAHAN,RUST VERLENGING,INTERVALO DA PRORROGAÇÃO,พักครึ่ง ต่อเวลาพิเศษ,HABA NG PAHINGA SA OVERTIME,UZATMA DEVRE ARASI SÜRESİ,加时中场 时长
using-portal,USING { $portal }PORTAL:,UTILISATION DU { $portal }PORTAL:,USANDO { $portal }PORTAL:,{ $portal }PORTAL VERWENDEN:,MENGGUNAKAN { $portal }PORTAL:,USA { $portal }PORTAL:,{ $portal }PORTAL使用:,{ $portal }PORTAL 사용:,MENGGUNAKAN { $portal }PORTAL:,{ $portal }PORTAL GEBRUIKEN:,USAR { $portal }PORTAL:,ใช้ { $portal }PORTAL:,GUMAGAMIT NG { $portal }PORTAL:,{ $portal }PORTAL KULLANILIYOR:,使用{ $portal }PORTAL：
starting-sides,STARTING SIDES,CÔTÉS DE DÉPART,LADOS INICIALES,STARTSEITEN,SISI AWAL,LATI DI PARTENZA,開始サイド,시작 진영,SISI PERMULAAN,STARTZIJDEN,LADOS INICIAIS,ด้านเริ่มต้น,MGA PANIG SA SIMULA,BAŞLANGIÇ TARAFLARI,起始位置
sound-enabled,SOUND ENABLED:,SON ACTIVÉ:,SONIDO HABILITADO:,TON AKTIVIERT:,SUARA DIAKTIFKAN:,AUDIO ATTIVATO:,サウンド 有効:,소리 사용:,BUNYI DIAKTIFKAN:,GELUID INGESCHAKELD:,SOM ATIVADO:,เปิดใช้ เสียง:,TUNOG PINAGANA:,SES AKTİF:,声音 启用：
whistle-volume,WHISTLE VOLUME:,VOLUME DU SIFFLET:,VOLUMEN DEL SILBATO:,PFEIFEN- LAUTSTÄRKE:,VOLUME PELUIT:,VOLUME FISCHIO:,笛 音量:,호루라기 음량:,KELANTANGAN WISEL:,FLUIT- VOLUME:,VOLUME DO APITO:,ระดับเสียง นกหวีด:,LAKAS NG SIPOL:,DÜDÜK SESİ:,哨声 音量：
manage-remotes,MANAGE REMOTES,GÉRER LES TÉLÉCOMMANDES,GESTIONAR REMOTOS,FERNBEDIENUNGEN VERWALTEN,KELOLA REMOTE,GESTISCI TELECOMANDI,リモコン管理,리모컨 관리,URUS KAWALAN JAUH,AFSTANDSBEDIENINGEN BEHEREN,GERIR CONTROLOS REMOTOS,จัดการรีโมต,PAMAHALAAN ANG MGA REMOTE,UZAKTAN KUMANDAYI YÖNETİN,管理遥控器
whistle-enabled,WHISTLE ENABLED:,SIFFLET ACTIVÉ:,SILBATO HABILITADO:,PFEIFE AKTIVIERT:,PELUIT DIAKTIFKAN:,FISCHIO ATTIVATO:,笛 有効:,호루라기 사용:,WISEL DIAKTIFKAN:,FLUIT INGESCHAKELD:,APITO ATIVADO:,เปิดใช้ นกหวีด:,SIPOL PINAGANA:,DÜDÜK AKTİF:,哨声 启用：
above-water-volume,ABOVE WATER VOLUME:,VOLUME SURFACE:,VOLUMEN SOBRE EL AGUA:,LAUTSTÄRKE ÜBER WASSER:,VOLUME DI ATAS AIR:,VOLUME FUORI ACQUA:,水上 音量:,수상 음량:,KELANTANGAN ATAS AIR:,VOLUME BOVEN WATER:,VOLUME ACIMA DA ÁGUA:,ระดับเสียง เหนือน้ำ:,LAKAS SA IBABAW NG TUBIG:,SU ÜSTÜ SES:,水上 音量：
auto-sound-start-play,AUTO SOUND START PLAY:,SON AUTOMATIQUE DÉBUT MATCH:,INICIO AUTOMÁTICO DE SONIDO AL JUGAR:,AUTO-TON SPIELSTART:,SUARA OTOMATIS MULAI MAIN:,AUDIO AUTO INIZIO GIOCO:,自動サウンド プレー開始:,자동 소리 경기 시작:,BUNYI AUTO MULA MAIN:,AUTO GELUID SPEL STARTEN:,SOM AUTO INICIAR JOGO:,เสียงอัตโนมัติ เริ่มเล่น:,AUTO TUNOG SIMULA NG LARO:,OTOMATİK SES OYUN BAŞLANGICI:,自动声音 开始比赛：
buzzer-sound,BUZZER SOUND:,SON DU BUZZER:,SONIDO DEL ALTAVOZ:,SUMMER- TON:,SUARA BUZZER:,SUONO BUZZER:,ブザー 音:,버저 소리:,BUNYI PENGGERA:,ZOEMER- GELUID:,SOM DA BUZINA:,เสียง บัซเซอร์:,TUNOG NG BUZZER:,BUZZER SESİ:,蜂鸣器 声音：
underwater-volume,UNDERWATER VOLUME:,VOLUME SOUS L'EAU:,VOLUMEN BAJO EL AGUA:,LAUTSTÄRKE UNTER WASSER:,VOLUME DI BAWAH AIR:,VOLUME SOTT'ACQUA:,水中 音量:,수중 음량:,KELANTANGAN BAWAH AIR:,VOLUME ONDER WATER:,VOLUME DEBAIXO DE ÁGUA:,ระดับเสียง ใต้น้ำ:,LAKAS SA ILALIM NG TUBIG:,SU ALTI SES:,水下 音量：
auto-sound-stop-play,AUTO SOUND STOP PLAY:,SON AUTOMATIQUE ARRÊT MATCH:,SONIDO AUTOMÁTICO AL PARAR:,AUTO-TON SPIELENDE:,SUARA OTOMATIS BERHENTI MAIN:,AUDIO AUTO FINE GIOCO:,自動サウンド プレー停止:,자동 소리 경기 종료:,BUNYI AUTO HENTI MAIN:,AUTO GELUID SPEL STOPPEN:,SOM AUTO PARAR JOGO:,เสียงอัตโนมัติ หยุดเล่น:,AUTO TUNOG HINTO NG LARO:,OTOMATİK SES OYUN SONU:,自动声音 结束比赛：
alarm-button,ALARM BUTTON:,BOUTON D'ALARME:,BOTÓN DE ALARMA:,ALARM- TASTE:,TOMBOL ALARM:,PULSANTE ALLARME:,アラーム ボタン:,알람 버튼:,BUTANG PENGGERA:,ALARM- KNOP:,BOTÃO DE ALARME:,ปุ่ม สัญญาณเตือน:,PINDUTAN NG ALARMA:,ALARM DÜĞME:,警报 按钮：
alarm,ALARM,ALARME,ALARMA,ALARM,ALARM,ALLARME,アラーム,알람,PENGGERA,ALARM,ALARME,สัญญาณเตือน,ALARMA,ALARM,警报
hold-to-test,HOLD TO TEST,MAINTENIR POUR TESTER,MANTÉN PARA PROBAR,ZUM TESTEN HALTEN,TAHAN UNTUK UJI,TIENI PER TESTARE,長押しでテスト,길게 눌러 테스트,TAHAN UNTUK UJI,INGEDRUKT HOUDEN OM TE TESTEN,MANTER PRESSIONADO PARA TESTAR,กดค้างเพื่อทดสอบ,PINDUTIN NANG MATAGAL PARA SUBUKAN,TEST İÇİN BASILI TUTUN,长按测试
or-press-spacebar,Or Press Spacebar,Ou Appuyez sur Espace,O Presiona la Barra,Oder Leertaste drücken,Atau Tekan Spacebar,O Premi Barra Spazio,またはスペースキーを押す,또는 스페이스바 누르기,Atau Tekan Kekunci Ruang,Of Druk op Spatiebalk,Ou Prima a Barra de Espaços,หรือกดสเปซบาร์,O Pindutin ang Spacebar,Veya Boşluk Tuşuna Basın,或按空格键
or-hold-spacebar,Or Hold Spacebar,Ou Maintenez Espace,O Mantén la Barra,Oder Leertaste halten,Atau Tahan Spacebar,O Tieni Barra Spazio,またはスペースキーを長押し,또는 스페이스바 길게 누르기,Atau Tahan Kekunci Ruang,Of Houd Spatiebalk Ingedrukt,Ou Mantenha a Barra de Espaços,หรือกดค้างสเปซบาร์,O Pindutin Nang Matagal ang Spacebar,Veya Boşluk Tuşunu Basılı Tutun,或长按空格键
game-info,GAME INFO,INFO PARTIE,INFO JUEGO,SPIELINFO,INFO PERTANDINGAN,INFO PARTITA,試合情報,경기 정보,MAKLUMAT PERLAWANAN,WEDSTRIJDINFO,INFO DO JOGO,ข้อมูลเกม,IMPORMASYON NG LARO,OYUN BİLGİSİ,比赛信息
remotes,REMOTES,TÉLÉCOMMANDES,REMOTOS,FERNBEDIENUNGEN,REMOTE,TELECOMANDI,リモコン,리모컨,KAWALAN JAUH,AFSTANDSBEDIENINGEN,CONTROLOS REMOTOS,รีโมต,MGA REMOTE,UZAKTAN KUMANDALAR,遥控器
default,DEFAULT,DÉFAUT,POR DEFECTO,STANDARD,BAWAAN,PREDEFINITO,デフォルト,기본값,LALAI,STANDAARD,PREDEFINIÇÃO,ค่าเริ่มต้น,DEFAULT,VARSAYILAN,默认
sound,SOUND: { $sound_text },SON: { $sound_text },SONIDO: { $sound_text },TON: { $sound_text },SUARA: { $sound_text },AUDIO: { $sound_text },サウンド: { $sound_text },소리: { $sound_text },BUNYI: { $sound_text },GELUID: { $sound_text },SOM: { $sound_text },เสียง: { $sound_text },TUNOG: { $sound_text },SES: { $sound_text },声音：{ $sound_text }
brightness-low | low,LOW,FAIBLE,BAJO,NIEDRIG,RENDAH,BASSO,低,낮음,RENDAH,LAAG,BAIXO,ต่ำ,MABABA,DÜŞÜK,低
brightness-medium | medium,MEDIUM,MOYEN,MEDIO,MITTEL,SEDANG,MEDIO,中,중간,SEDERHANA,GEMIDDELD,MÉDIO,กลาง,KATAMTAMAN,ORTA,中
brightness-high | high,HIGH,HAUT,ALTO,HOCH,TINGGI,ALTO,高,높음,TINGGI,HOOG,ALTO,สูง,MATAAS,YÜKSEK,高
brightness-outdoor,OUTDOOR,EXTÉRIEUR,EXTERIOR,AUSSEN,LUAR RUANGAN,ESTERNO,屋外,야외,LUAR RUMAH,BUITEN,EXTERIOR,กลางแจ้ง,PANLABAS,DIŞ MEKAN,室外
waiting,WAITING,EN ATTENTE,EN ESPERA,WARTEN,MENUNGGU,IN ATTESA,待機中,대기 중,MENUNGGU,WACHTEN,A AGUARDAR,กำลังรอ,NAGHIHINTAY,BEKLENİYOR,等待中
add,ADD,AJOUTER,AÑADIR,HINZUFÜGEN,TAMBAH,AGGIUNGI,追加,추가,TAMBAH,TOEVOEGEN,ADICIONAR,เพิ่ม,IDAGDAG,EKLE,添加
half-length,HALF LEN,DURÉE PÉRIODE,DURACIÓN DE UNA MITAD,HALBZ. DAUER,DUR BABAK,DUR TEMPO,ハーフ時間,전반 시간,PANJANG SEPARUH,DUUR HELFT,DUR TEMPO,ความยาวครึ่ง,HABA NG KALAHATI,DEVRE SÜRESİ,半场时长
